実行時刻,通貨,戦略,設定ID,保存先,開始日,終了日,取引数,勝ち,負け,合計損益,最大DD
2025-12-22 22:10:25.381000,USDJPY,秒逆張り,1838ded3,USDJPY\秒逆張り\設定_1838ded3\取引一覧.csv,2025-01-08,2025-12-22,175,46,129,-185.00,245.00
2025-12-22 22:10:20.605000,USDJPY,秒逆張り,3153288a,USDJPY\秒逆張り\設定_3153288a\取引一覧.csv,2025-01-04,2025-12-22,173,42,131,-235.00,280.00
2026-02-07 23:15:08.679691,USDJPY,秒逆張り,4bc30b4c,USDJPY\秒逆張り\設定_4bc30b4c\取引一覧.csv,2025-01-04,2025-12-22,333,140,193,-530.00,670.00
2025-12-22 22:10:33.491000,USDJPY,秒逆張り,5cdf927f,USDJPY\秒逆張り\設定_5cdf927f\取引一覧.csv,2025-01-04,2025-12-22,333,60,273,-165.00,385.00
2025-12-22 22:10:29.673000,USDJPY,秒逆張り,772c4679,USDJPY\秒逆張り\設定_772c4679\取引一覧.csv,2025-01-04,2025-12-22,282,55,227,-310.00,480.00
2026-02-07 22:54:05.246797,USDJPY,秒逆張り,7b6487e4,USDJPY\秒逆張り\設定_7b6487e4\取引一覧.csv,2024-01-02,2025-12-22,1211,278,933,-990.00,1200.00
2025-12-22 22:10:29.673000,USDJPY,秒逆張り,9c8c536c,USDJPY\秒逆張り\設定_9c8c536c\取引一覧.csv,2025-01-04,2025-12-22,333,69,264,-285.00,430.00
2025-12-22 22:10:25.381000,USDJPY,秒逆張り,b712a940,USDJPY\秒逆張り\設定_b712a940\取引一覧.csv,2025-01-04,2025-12-22,205,56,149,-185.00,255.00
2025-12-22 22:10:20.605000,USDJPY,秒逆張り,d94bc5a9,USDJPY\秒逆張り\設定_d94bc5a9\取引一覧.csv,2025-01-08,2025-12-22,147,35,112,-210.00,240.00
2026-02-07 22:13:03.659781,USDJPY,秒逆張り,dd3b442d,USDJPY\秒逆張り\設定_dd3b442d\取引一覧.csv,2024-01-02,2025-12-22,1211,172,1039,-35.00,440.00
2025-12-22 22:10:33.491000,USDJPY,秒逆張り,f1b13ddb,USDJPY\秒逆張り\設定_f1b13ddb\取引一覧.csv,2025-01-04,2025-12-22,281,50,231,-155.00,440.00
2026-02-07 18:24:39.611750,USDJPY,水平線+勢い追随+秒逆張り,613b1c55,USDJPY\水平線+勢い追随+秒逆張り\設定_613b1c55\取引一覧.csv,2017-03-02,2025-12-19,57,19,38,0.00,80.00
2026-02-07 18:23:54.077095,USDJPY,水平線+勢い追随+秒逆張り,8fd0ce57,USDJPY\水平線+勢い追随+秒逆張り\設定_8fd0ce57\取引一覧.csv,2020-03-09,2025-12-19,12,3,9,-15.00,35.00
2026-02-08 02:21:17.813710,USDJPY,秒逆張り,c75b8894,USDJPY\秒逆張り\設定_c75b8894\取引一覧.csv,2024-01-02,2025-12-22,955,138,817,55.00,490.00
2026-02-08 02:49:14.345741,USDJPY,秒逆張り,1c9f7ccb,USDJPY\秒逆張り\設定_1c9f7ccb\取引一覧.csv,2025-01-04,2025-12-22,287,86,201,-386.10,449.90
2026-02-08 03:08:26.131435,USDJPY,秒逆張り,bc3df437,USDJPY\秒逆張り\設定_bc3df437\取引一覧.csv,2025-01-04,2025-12-22,283,82,201,-335.60,408.70
2026-02-08 03:28:54.022554,USDJPY,秒逆張り,28bdbdf6,USDJPY\秒逆張り\設定_28bdbdf6\取引一覧.csv,2025-01-04,2025-12-22,283,72,210,-310.30,427.10
2026-02-08 03:30:07.489489,USDJPY,秒逆張り,e1200a55,USDJPY\秒逆張り\設定_e1200a55\取引一覧.csv,2025-01-04,2025-12-22,283,68,215,-301.20,432.90
